"KOAM Maintenance, LLC","4520 Selma Hwy Montgomery, AL 36108","334-744-3660",http://www.koammaint.com/
"BTL America LLC","2776 Gunter Park Drive, Unit E Montgomery, AL 36109","706-298-6492 / 334-707-5329",""
"Columbus Lift Service, Inc.","2815 Harley Court Columbus GA 31909","706-568-6313 / 877-507-6385",http://www.columbusliftservice.com/
"Burke Handling Systems","4286 Highway 69 South, Columbus MS 39704","662-327-6000 / 800-870-6005",http://www.burkehandling.com/
"Louisiana Lift dba Allift","1111 North Beltline Hwy., Mobile AL 36618","251-479-2909",http://www.alliftequipment.com/
"Burke Handling Systems","7418 Rt 49 North, Hattisburg MS 39402","601-261-3300 / N/A",http://www.burkehandling.com/
"Doosan Material Handling Solutions","5635 Gwaltney Drive Atlanta GA 30336","770-941-0239",http://www.doosanmhs.com/
"Lift Service Inc.","Lift Service Inc. 1110 Hwy. 20 Tuscumbia AL 35674","256-381-0021",https://liftserviceinc.com/
"Delta Materials Handling, Inc.","1984 McCullough Blvd Tupelo, MS 38801","662-844-5766",http://www.deltamat.com/Tupelo
"Burke Handling Systems","431 Hwy 49 South, Jackson MS 39218","601-939-6600 / 800-222-5400",http://www.burkehandling.com/
"Industrial LIft Truck dba Action Material Handling","1259 Hooker Road, Chattanooga TN 37407","423-867-3333",http://www.action-material-handling.com/
"Doosan Material Handling Solutions","2475 Mill Center Parkway, Buford, GA, USA","678-745-2230",http://www.doosanmhs.com/
"Industrial Lift Truck","464 Rock Quarry Road, Soddy-Daisy, TN, USA","423-867-3333",""
"Burke Handling Systems","3924 Highway 82 West, Leland MS 38756","662-378-9700 / 800-551-4501",http://www.burkehandling.com/
"Union City Forklift, Inc.","4056 Homewood Road, Memphis TN 38118","901-377-3330 / N/A",http://www.liftprousa.com/
