"Summit Handling Systems","11 Defco Park Road North Haven, CT 06473","203-239-5351",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Lift Truck Parts & Service","20 Parkside Drive, West Springfield MA 01089","866-436-7967",http://lifttruckmass.com/
"Summit Handling Systems","39 Murphy Road North Franklin, CT 06254","860-642-4377",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Summit Handling Systems","63 Mall Drive Commack, NY 11725","631-236-4466",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Summit Handling Systems","2500 NY 208 Walden, NY 12586","845-764-8466",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Forklifts Group Of New York","21 Dixon Ave, Copiague NY 11726","631-810-3600",http://www.forkliftsgroup.com/
"W.D. Matthews Machinery","W.D. Matthews Machinery 297 Hartford Turnpike Shrewsbury MA 1545","508-798-3411",https://www.wdmatthews.com/
"Liftec, Inc.","124 Sylvania Place, Plainfield NJ 07080","908-769-0034",http://www.liftec.com/
"A. J. Jersey Inc.","125 St Nicolas Ave, South Plainfield NJ 07080","908-754-7333",http://www.ajjersey.net/
"Lift Truck Parts & Service II","140 Manley Street Brockton, MA 02301","(508) 313-5600",https://www.facebook.com/lifttruckmass/
"W.D. Matthews Machinery","309 Sheep Davis Road Concord NH 03301","603-225-1171",https://www.wdmatthews.com/
"Delaware Valley Lift Trucks Inc.","1311 Ford Road, Bensalem PA 19020","215-447-0000 / 888-706-5070",http://www.dvlift.com/
"Best Line Equipment","1315 Hausman Road, Allentown PA 18104","484-223-3814 / 866-573-5559",http://www.bestline.com/
"Toyotalift NE","1000 Taylors Lane, Unit 6 NJ 08077","856-303-0235",http://www.toyotaliftne.com/
"Mullen Industrial Handling Corporation","6245 Fly Road, Handling East Syracuse NY 13057","315-437-3386 / N/A",http://www.mullenindustrial.com/
