"Certified Lift Specialists Inc","4522 State Route 136, Greensburg, PA, 15601, US","724-830-9972 / N/A",https://clsforklift.com/
"Langer Material Handling, Inc.","100 Industrial Drive West, Valencia PA 16059","724-898-2000",http://www.langermhi.com/
"Best Line Equipment","140 Hawbaker Industrial Drive, State College PA 16803","814-237-9050 / 800-792-0635",http://www.bestline.com/
"Valley Industrial Trucks, Inc.","1152 Meadowbrook Ave., Youngstown OH 44512","330-788-4081 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Jefferds Corporation","8360 Water Street, Stonewood WV 26301","304-623-6541 / 800-735-8111",http://www.jefferds.com/
"Alliance Material Handling, Inc.","161 Industrial Drive, Winchester VA 22602","866 264 5438 / 540-868-4180",http://www.alliancemat.com/
"Best Line Equipment","5120 East Trindle Road, Mechanicsburg PA 17050","800-577-7115",http://www.bestline.com/
"Valley Industrial Trucks, Inc.","1620 East Market St., Akron OH 44305","330-733-6301 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"A. J. Gates Company","29855 Aurora Road, Solon OH 44139","",http://www.ajgates.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"Prolift Inc.","1835 Dale Road, Buffalo NY 14225","716-895-8600 / 888-474-0149",http://www.proliftinc.com/
"Alliance Material Handling, Inc.","8320 Sherwick Court, Jessup MD 20794","301-497-2600 / 866-264-5438",http://www.alliancemat.com/
"Jefferds Corporation (Homestead)","961 Laurel Hill Rd., Verona 24482","540-248-3600",http://www.jefferds.com/
"Toyotalift NE","820 Phillips Rd Victor NY 14564","585-742-2150",http://www.toyotaliftne.com/
"Best Line Equipment","1315 Hausman Road, Allentown PA 18104","484-223-3814 / 866-573-5559",http://www.bestline.com/
