"Van Wall Lift Truck","1468 West A Ave., Nevada IA 50201","515-382-2222",http://www.vanwalllift.com/
"Big River Equipment Co., Inc.","2950 W. Airline Highway, Waterloo IA 50703","319-235-6741 / 800-747-7771",http://www.bigriverequipment.com/
"Big River Equipment Co., Inc.","1520 Stamy Road, Hiawatha IA 52233","319-395-9003 / 800-747-7771",http://www.bigriverequipment.com/
"Big River Equipment Co., Inc.","5875 State Street, Bettendorf IA 52722","563-359-9600 / 800-747-7771",http://www.bigriverequipment.com/
"Van Wall Lift Truck","13747 Industrial Road, Omaha NE 68137","866-891-1024",http://www.vanwalllift.com/
"Forklifts of Minnesota (F/MN)","2201 West 94th Street Bloomington MN 55431","952-887-5400 / 800-752-4300",http://www.forkliftsofmn.com/
"JJ Connell Co.","JJ CONNELL CO. 1225 Ozark St. North Kansas City MO 64116","816-241-6700",http://www.jjconnellco.com/
"Lift Truck Sales & Service Inc. (Clarklift of Kansas City)","2720 Nicholson Road, Kansas Ctiy MO 64120","816-241-6360",http://www.lifttrucksalesinc.com/
"Wisconsin Lift Truck Corporation","6003 FEMRITE DR #1, Madison WI 53718","608-221-3881",""
"C & B Operations LLC (Yankton - HQ)","2200 E HWY 50 YANKTON SD 57078","605-665-3762 / 800-952-2424",https://deerequipment.com/
"C & B Operations LLC (Freeman)","615 N HWY 81 FREEMAN SD 57029","605-925-4241 / 800-251-6912",https://deerequipment.com/
"Illinois Material Handling","Illinois Material Handling 490 W North Frontage Rd Bolingbrook IL 60440","630-754-4440",http://www.wisconsinlift.com/
"JJ Connell Co.","JJ CONNELL CO. 5930 North Hanley St. Louis MO 63134","314-522-6099",http://www.jjconnellco.com/
"JJ Connell Co.","5930 North Hanley, Springfield MO 63134","314-522-6099 / 888-522-6099",http://www.jjconnellco.com/
"Wisconsin Lift Truck Corporation","3125 Intertech Drive, Brookfield WI 53045","262-781-8010",http://www.wisconsinlift.com/
