"Complete Forklift Repair, LLC","1000 Owenton Road, Corinth,KY 41010","888-680-5438",http://www.completeforkliftrepair.com/
"Forklift Systems, Incorporated","4300 Chef's Way Louisville KY 40218","502-654-8999",http://www.forkliftsystems.com/
"Complete Forklift Repair","7964 Kentucky Drive Ste 13 Florence, KY 41042","888-680-5438",http://completeforkliftrepair.com/
"Bohnert Equipment Co.","1010 South 9th Street Louisville KY 40203","502-584-3391",http://www.bohnert.com/
"Next Lift, Inc","2271 Arbor Blvd, Moraine, OH 45439","937-387-8140",http://www.next-lift.com/
"Material Handling, Inc","4709 Middle Creek Lane Knoxville TN 37921","865-281-1500",http://www.mhiusa.net/
"Jefferds Corporation","2070 Winfield Road, St. Albans 25177","304-755-8111 / 800-735-8111",http://www.jefferds.com/
"Forklifts of Toedo - B&B Forklifts","9180 US Route 62, Orient OH 43146","614-877-0037 / 888-432-9368",https://bbforklift.com/
"Jefferds Corporation (Homestead)","Jefferds Corporation (Homestead) 223 Lee Highway Chilhowie VA 24319","276-646-0240 / 888-848-6216",http://www.jefferds.com/
"Kensar Equipment Company (Div. of Wisconsin Lift Truck)","820 South Post Road Indianapolis, IN 46239","262-781-8011",http://www.kensar.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"Forklift Systems, Incorporated","884 Elm Hill Pike, Nashville TN 37210","615-255-6321 / 800-752-1882",http://www.forkliftsystems.com/
"Industrial Lift Truck","464 Rock Quarry Road, Soddy-Daisy, TN, USA","423-867-3333",""
"Industrial LIft Truck dba Action Material Handling","1259 Hooker Road, Chattanooga TN 37407","423-867-3333",http://www.action-material-handling.com/
"Jefferds Corporation","8360 Water Street, Stonewood WV 26301","304-623-6541 / 800-735-8111",http://www.jefferds.com/
