"Forklifts of North Dakota (F/MN)","1808 E. Main Avenue West Fargo ND 58078","701-282-2334 / 800-342-4964",http://www.forkliftsofmn.com/?division=nd
"Forklifts of Minnesota (F/MN)","2201 West 94th Street Bloomington MN 55431","952-887-5400 / 800-752-4300",http://www.forkliftsofmn.com/
"C & B Operations LLC (Roscoe)","602 W MERRILL AVE ROSCOE SD 57471","605-287-4281 / 800-592-1822",https://deerequipment.com/
"Ross Equipment Ltd.","1330 Mountain Avenue Winnipeg MB R2X3A3","204-633-8065 / N/A",http://www.rossequipment.com/
"C & B Operations LLC (Miller)","1810 N BROADWAY AVE MILLER SD 57362","605-853-2482 / 800-658-3658",https://deerequipment.com/
"C & B Operations LLC (Mitchell)","2600 WEST HAVENS MITCHELL SD 57301","605-996-6633 / 800-952-2362",https://deerequipment.com/
"C & B Operations LLC (Freeman)","615 N HWY 81 FREEMAN SD 57029","605-925-4241 / 800-251-6912",https://deerequipment.com/
"C & B Operations LLC (Selby)","2408 MAIN ST SELBY SD 57472","605-649-7665 / 800-658-3634",https://deerequipment.com/
"ITEC 2000 Equipment","ITEC 2000 Equipment 26 Gardner Rd. Rosslyn ON P7K 0P1","833-483-2200",https://www.itec2000.com/
"C & B Operations LLC (Parkston)","1109 S HWY 37 PARKSTON SD 57366","605-928-3325",https://deerequipment.com/
"C & B Operations LLC (Corsica)","525 S HWY 281 CORSICA SD 57328","605-946-5444 / 800-952-2315",https://deerequipment.com/
"C & B Operations LLC (Gettysburg)","30965 US HWY 212 GETTYSBURG SD 57442","605-765-2434 / 800-333-3658",https://deerequipment.com/
"C & B Operations LLC (Yankton - HQ)","2200 E HWY 50 YANKTON SD 57078","605-665-3762 / 800-952-2424",https://deerequipment.com/
