"JJ Connell Co.","JJ CONNELL CO. 5930 North Hanley St. Louis MO 63134","314-522-6099",http://www.jjconnellco.com/
"JJ Connell Co.","5930 North Hanley, Springfield MO 63134","314-522-6099 / 888-522-6099",http://www.jjconnellco.com/
"JJ Connell Co.","3015 N. Lester Jones Ave. Springfield, MO 65803","888-522-6099",http://www.jjconnellco.com/
"A D Lift Truck","5434 Natural Bridge Ave St. Louis, MO 63120","314.389.1700",http://adlifttruck.com/
"Hugg & Hall Equipment","2828 Quality Way, Jonesboro AR 72401","870-931-1262 / 888-340-6808",http://www.hugghall.com/
"Lift Truck Sales & Service Inc. (Clarklift of Kansas City)","2720 Nicholson Road, Kansas Ctiy MO 64120","816-241-6360",http://www.lifttrucksalesinc.com/
"JJ Connell Co.","JJ CONNELL CO. 1225 Ozark St. North Kansas City MO 64116","816-241-6700",http://www.jjconnellco.com/
"Hugg & Hall Equipment","331 Agnes Drive, Springdale AR 76762","479-361-1262 / 888-340-6808",http://www.hugghall.com/
"Union City Forklift, Inc.","2311 North 5th Street, Forklift Ctiy TN 38261","731-885-6900 / N/A",http://www.liftprousa.com/
"Union City Forklift, Inc.","4056 Homewood Road, Memphis TN 38118","901-377-3330 / N/A",http://www.liftprousa.com/
"Hugg & Hall Equipment","7201 Scott Hamilton Dr., Little Rock AR 72209","501-562-1262 / 888-340-6808",http://www.hugghall.com/
"Hugg & Hall Equipment","7101 South Zero Street, Ft. Smith AR 72903","479-648-3322 / 888-340-6808",http://www.hugghall.com/
"Big River Equipment Co., Inc.","5875 State Street, Bettendorf IA 52722","563-359-9600 / 800-747-7771",http://www.bigriverequipment.com/
"Hugg & Hall Equipment","5109 West 21st Street, Tulsa OK 74107","918-438-7200 / 888-340-6808",http://www.hugghall.com/
"Big River Equipment Co., Inc.","1520 Stamy Road, Hiawatha IA 52233","319-395-9003 / 800-747-7771",http://www.bigriverequipment.com/
