"C & B Operations LLC (Selby)","2408 MAIN ST SELBY SD 57472","605-649-7665 / 800-658-3634",https://deerequipment.com/
"C & B Operations LLC (Roscoe)","602 W MERRILL AVE ROSCOE SD 57471","605-287-4281 / 800-592-1822",https://deerequipment.com/
"C & B Operations LLC (Culbertson)","21 WEST 2nd ST CULBERTSON MT 59218","406-787-6201",https://deerequipment.com/
"C & B Operations LLC (Glendive)","1711 WEST TOWNE GLENDIVE MT 59330","406-377-2533",https://deerequipment.com/
"C & B Operations LLC (Gettysburg)","30965 US HWY 212 GETTYSBURG SD 57442","605-765-2434 / 800-333-3658",https://deerequipment.com/
"C & B Operations LLC (Plentywood)","804 EAST 1st AVE PLENTYWOOD MT 59254","406-765-1531 / 800-443-9447",https://deerequipment.com/
"Forklifts of North Dakota (F/MN)","1808 E. Main Avenue West Fargo ND 58078","701-282-2334 / 800-342-4964",http://www.forkliftsofmn.com/?division=nd
"C & B Operations LLC (Circle)","705 B AVENUE CIRCLE MT 59215","406-485-2145",https://deerequipment.com/
"C & B Operations LLC (Miller)","1810 N BROADWAY AVE MILLER SD 57362","605-853-2482 / 800-658-3658",https://deerequipment.com/
"Ross Equipment Ltd.","1330 Mountain Avenue Winnipeg MB R2X3A3","204-633-8065 / N/A",http://www.rossequipment.com/
"C & B Operations LLC (Miles City)","2514 HAYNES AVE S MILES CITY MT 59301","406-232-3211 / 800-828-2378",https://deerequipment.com/
"Cervus Equipment","505 Park Street, Regina Saskatchewan S4N 5B2","306-721-4608 / N/A",http://www.cervusequipment.com/
"C & B Operations LLC (Glasgow)","54272 HWY 2 EAST GLASGOW MT 59230","406-228-2496 / 800-428-2496",https://deerequipment.com/
"C & B Operations LLC (Chamberlain)","1300 EAST KING AVE CHAMBERLAIN SD 57325","605-234-5538",https://deerequipment.com/
