"Forklifts of Toedo - B&B Forklifts","9180 US Route 62, Orient OH 43146","614-877-0037 / 888-432-9368",https://bbforklift.com/
"Next Lift, Inc","2271 Arbor Blvd, Moraine, OH 45439","937-387-8140",http://www.next-lift.com/
"Valley Industrial Trucks, Inc.","1620 East Market St., Akron OH 44305","330-733-6301 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Forklifts of Toledo","140 Byrne Road, Toledo OH 43607","419-531-6110",https://forkliftsoftoledo.com/
"A. J. Gates Company","29855 Aurora Road, Solon OH 44139","",http://www.ajgates.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"Valley Industrial Trucks, Inc.","1152 Meadowbrook Ave., Youngstown OH 44512","330-788-4081 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Ryder Material Handling","2970 Walker Road Windsor ON N8W3R3","519-966-2450 / 800-268-2125",http://www.rydermaterialhandling.com/
"Morrison Industrial Equipment, Co.","1401 W Fort St. Rm 1006 Detroit MI 48233","810-227-6311",http://www.morrison-ind.com/
"Complete Forklift Repair","7964 Kentucky Drive Ste 13 Florence, KY 41042","888-680-5438",http://completeforkliftrepair.com/
"Ryder Material Handling","128 Byng Avenue Chatham ON N7M6C6","800-265-5014",http://www.rydermaterialhandling.com/
"Jefferds Corporation","2070 Winfield Road, St. Albans 25177","304-755-8111 / 800-735-8111",http://www.jefferds.com/
"Morrison Industrial Equipment, Co","1183 South Old US Highway 23 Brighton, Mi 48114","810-227-6311",http://www.morrison-ind.com/
"Langer Material Handling, Inc.","100 Industrial Drive West, Valencia PA 16059","724-898-2000",http://www.langermhi.com/
"Complete Forklift Repair, LLC","1000 Owenton Road, Corinth,KY 41010","888-680-5438",http://www.completeforkliftrepair.com/
