"Hugg & Hall Equipment","4700 North Bryant Ave, Oklahoma City OK 73121","405-670-4343 / 800-593-2830",http://www.hugghall.com/
"Hugg & Hall Equipment","5109 West 21st Street, Tulsa OK 74107","918-438-7200 / 888-340-6808",http://www.hugghall.com/
"Associated Supply Company, Inc.","4146 IH-10 East, San Antonio TX 782219","210-333-8000",http://www.ascoeq.com/
"Associated Supply Company, Inc.","2900 Henry S Grace Freeway, Wichita Falls TX 76302","940-687-2726",http://ascoeq.com/
"Elite Material Handling","900 Port America Place, Grapevine TX 76051","817-595-5995",http://www.elitemh.com/
"Hugg & Hall Equipment","7101 South Zero Street, Ft. Smith AR 72903","479-648-3322 / 888-340-6808",http://www.hugghall.com/
"Hugg & Hall Equipment","331 Agnes Drive, Springdale AR 76762","479-361-1262 / 888-340-6808",http://www.hugghall.com/
"Lift Truck Center, Inc.","4000 W. 33rd Circle South, Wichita KS 67217","316-942-7465",http://www.ltcenter.com/
"Associated Supply Company, Inc.","2602 E Front St, Tyler, TX 75702","903-593-0201",http://www.ascoeq.com/
"Associated Supply Company, Inc.","3010 South Treadaway Blvd, Abilene TX 79602","325-698-2726 / 888-376-1321",http://www.ascoeq.com/
"Louisiana Lift, Inc.","6847 Greenwood Dr. Shreveport LA 71133","318-631-5100",http://www.lalift.com/
"JJ Connell Co.","3015 N. Lester Jones Ave. Springfield, MO 65803","888-522-6099",http://www.jjconnellco.com/
"Associated Supply Company, Inc.","7576 I-40 East, Amarillo TX 79118","806-372-8386 / 888-376-1321",http://www.ascoeq.com/
"Hugg & Hall Equipment","7201 Scott Hamilton Dr., Little Rock AR 72209","501-562-1262 / 888-340-6808",http://www.hugghall.com/
"Associated Supply Company, Inc.","202 Interstate 35 Frontage Rd, Belton, TX 76513","(254) 613-1500",http://www.ascoeq.com/
