"Atlantic Forklift Service","1009-B Ferguson Street, Columbia SC 29205","803-714-3330 / (803) 677-1216",http://www.atlanticforkliftservices.com/
"Southeast Industrial Equipment","9861 Highway 78, Ladson SC 29456","843-552-4825 / 866-696-9125",https://sielift.com/
"Atlantic Forklift Service","2355 Highway 101 South, Suite Greer SC 29651","864-479-1555 / (864) 499-8288",http://www.atlanticforkliftservices.com/
"Atlantic Forklift Services, LLC","5509 David Cox Road, Charlotte NC 28269","704-816-8960",https://www.atlanticforkliftservices.com/
"Lift Power, Inc","1500 Jimmy DeLoach Parkway, Ste 100 Pooler, GA 31322","912-447-9500",https://liftpower.com/
"Southeast Industrial Equipment","512 Bourne Avenue, Garden City GA 31408","912‐965‐9191 / 866-696-9125",https://sielift.com/
"Mobilift of Burlington dba Cape Fear Lift Trucks","1200 South Eastern Blvd., Fayetteville NC 28306","910-486-4200 / 888-928-2635",http://www.mobiliftnc.com/
"Mobilift of Burlington, Inc. High Point","1399 Lorraine Avenue, High Point NC 27263","336-434-4505 / 888-928-2635",http://www.mobiliftnc.com/
"Doosan Material Handling Solutions","2475 Mill Center Parkway, Buford, GA, USA","678-745-2230",http://www.doosanmhs.com/
"Mobilift of Burlington, Inc.","572 Trollingwood/Hawfields Road, Burlington NC 27302","336-578-1000 / 888-928-2635",http://www.mobiliftnc.com/
"Doosan Material Handling Solutions","5635 Gwaltney Drive Atlanta GA 30336","770-941-0239",http://www.doosanmhs.com/
"Jefferds Corporation (Homestead)","Jefferds Corporation (Homestead) 223 Lee Highway Chilhowie VA 24319","276-646-0240 / 888-848-6216",http://www.jefferds.com/
"Material Handling, Inc","4709 Middle Creek Lane Knoxville TN 37921","865-281-1500",http://www.mhiusa.net/
"Columbus Lift Service, Inc.","2815 Harley Court Columbus GA 31909","706-568-6313 / 877-507-6385",http://www.columbusliftservice.com/
"Lift Power, Inc.","6801 Suemac Place, Jacksonville FL 32254","904-783-0250",http://www.liftpower.com/
