"Jefferds Corporation","8360 Water Street, Stonewood WV 26301","304-623-6541 / 800-735-8111",http://www.jefferds.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"Jefferds Corporation","2070 Winfield Road, St. Albans 25177","304-755-8111 / 800-735-8111",http://www.jefferds.com/
"Jefferds Corporation (Homestead)","961 Laurel Hill Rd., Verona 24482","540-248-3600",http://www.jefferds.com/
"Jefferds Corporation (Homestead)","3218 Salem Turnpike, NW, Roanoke VA 24017","540-344-0911",http://www.jefferds.com/
"Jefferds Corporation (Homestead)","420 Bradley Drive, Lynchburg VA 24506","434-845-4699",http://www.jefferds.com/
"Certified Lift Specialists Inc","4522 State Route 136, Greensburg, PA, 15601, US","724-830-9972 / N/A",https://clsforklift.com/
"Alliance Material Handling, Inc.","161 Industrial Drive, Winchester VA 22602","866 264 5438 / 540-868-4180",http://www.alliancemat.com/
"Jefferds Corporation (Homestead)","Jefferds Corporation (Homestead) 223 Lee Highway Chilhowie VA 24319","276-646-0240 / 888-848-6216",http://www.jefferds.com/
"Langer Material Handling, Inc.","100 Industrial Drive West, Valencia PA 16059","724-898-2000",http://www.langermhi.com/
"Forklifts of Toedo - B&B Forklifts","9180 US Route 62, Orient OH 43146","614-877-0037 / 888-432-9368",https://bbforklift.com/
"Valley Industrial Trucks, Inc.","1152 Meadowbrook Ave., Youngstown OH 44512","330-788-4081 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Valley Industrial Trucks, Inc.","1620 East Market St., Akron OH 44305","330-733-6301 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Southeast Industrial Equipment","5130 Commerce Road Richmond VA 23234","804‐714‐0799 / 866-696-9125",https://sielift.com/
"Mobilift of Burlington, Inc.","572 Trollingwood/Hawfields Road, Burlington NC 27302","336-578-1000 / 888-928-2635",http://www.mobiliftnc.com/
